#Skjerping, 71.1.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;13,22233;0;3
2020-01-02 11:00:00Z;12,48429;0;3
2020-01-03 11:00:00Z;27,22003;0;3
2020-01-04 11:00:00Z;10,23512;0;3
2020-01-05 11:00:00Z;8,268153;0;3
2020-01-06 11:00:00Z;13,80202;0;3
2020-01-07 11:00:00Z;18,26623;0;3
2020-01-08 11:00:00Z;51,92948;0;3
2020-01-09 11:00:00Z;17,68593;0;3
2020-01-10 11:00:00Z;9,161426;0;3
2020-01-11 11:00:00Z;19,22929;0;3
2020-01-12 11:00:00Z;21,18642;0;3
2020-01-13 11:00:00Z;10,41858;0;3
2020-01-14 11:00:00Z;8,90561;0;3
2020-01-15 11:00:00Z;8,038195;0;3
2020-01-16 11:00:00Z;13,41953;0;3
2020-01-17 11:00:00Z;13,78637;0;3
2020-01-18 11:00:00Z;10,76443;0;3
2020-01-19 11:00:00Z;6,840555;0;3
2020-01-20 11:00:00Z;7,042605;0;3
2020-01-21 11:00:00Z;31,99553;0;3
2020-01-22 11:00:00Z;16,05195;0;3
2020-01-23 11:00:00Z;14,12003;0;3
2020-01-24 11:00:00Z;20,64035;0;3
2020-01-25 11:00:00Z;10,74683;0;3
2020-01-26 11:00:00Z;9,307531;0;3
2020-01-27 11:00:00Z;8,083679;0;3
2020-01-28 11:00:00Z;6,10785;0;3
2020-01-29 11:00:00Z;5,090191;0;3
2020-01-30 11:00:00Z;4,417646;0;3
2020-01-31 11:00:00Z;4,174098;0;3
2020-02-01 11:00:00Z;13,14342;0;3
2020-02-02 11:00:00Z;9,771566;0;3
2020-02-03 11:00:00Z;5,498861;0;3
2020-02-04 11:00:00Z;4,317379;0;3
2020-02-05 11:00:00Z;4,163181;0;3
2020-02-06 11:00:00Z;4,594169;0;3
2020-02-07 11:00:00Z;4,229606;0;3
2020-02-08 11:00:00Z;3,895181;0;3
2020-02-09 11:00:00Z;5,782373;0;3
2020-02-10 11:00:00Z;8,76727;0;3
2020-02-11 11:00:00Z;5,419399;0;3
2020-02-12 11:00:00Z;4,573852;0;3
2020-02-13 11:00:00Z;3,765311;0;3
2020-02-14 11:00:00Z;3,403348;0;3
2020-02-15 11:00:00Z;3,427507;0;3
2020-02-16 11:00:00Z;8,626227;0;3
2020-02-17 11:00:00Z;14,25037;0;3
2020-02-18 11:00:00Z;16,51254;0;3
2020-02-19 11:00:00Z;7,747227;0;3
2020-02-20 11:00:00Z;5,312135;0;3
2020-02-21 11:00:00Z;6,774314;0;3
2020-02-22 11:00:00Z;12,10652;0;3
2020-02-23 11:00:00Z;6,614076;0;3
2020-02-24 11:00:00Z;4,624129;0;3
2020-02-25 11:00:00Z;3,761843;0;3
2020-02-26 11:00:00Z;3,238428;0;3
2020-02-27 11:00:00Z;2,992411;0;3
2020-02-28 11:00:00Z;2,886717;0;3
