#Flåm bru, 72.77.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;9,079072;0;2
2020-01-02 11:00:00Z;7,374412;0;2
2020-01-03 11:00:00Z;10,79815;0;2
2020-01-04 11:00:00Z;7,40718;0;2
2020-01-05 11:00:00Z;7,54003;0;2
2020-01-06 11:00:00Z;9,650635;0;2
2020-01-07 11:00:00Z;8,72884;0;2
2020-01-08 11:00:00Z;20,52439;0;2
2020-01-09 11:00:00Z;11,45323;0;2
2020-01-10 11:00:00Z;8,63358;0;2
2020-01-11 11:00:00Z;12,81599;0;2
2020-01-12 11:00:00Z;14,11449;0;2
2020-01-13 11:00:00Z;9,7662;0;2
2020-01-14 11:00:00Z;8,413908;0;2
2020-01-15 11:00:00Z;7,95153;0;2
2020-01-16 11:00:00Z;10,27172;0;2
2020-01-17 11:00:00Z;9,470281;0;2
2020-01-18 11:00:00Z;7,578784;0;2
2020-01-19 11:00:00Z;6,521308;0;2
2020-01-20 11:00:00Z;7,066159;0;2
2020-01-21 11:00:00Z;15,26976;0;2
2020-01-22 11:00:00Z;10,36109;0;2
2020-01-23 11:00:00Z;9,10824;0;2
2020-01-24 11:00:00Z;9,970305;0;2
2020-01-25 11:00:00Z;8,088744;0;2
2020-01-26 11:00:00Z;7,350456;0;2
2020-01-27 11:00:00Z;6,080682;0;2
2020-01-28 11:00:00Z;5,054096;0;2
2020-01-29 11:00:00Z;4,83745;0;2
2020-01-30 11:00:00Z;4,616379;0;2
2020-01-31 11:00:00Z;4,492327;0;2
2020-02-01 11:00:00Z;6,670177;0;2
2020-02-02 11:00:00Z;5,661668;0;2
2020-02-03 11:00:00Z;4,520554;0;2
2020-02-04 11:00:00Z;4,168696;0;2
2020-02-05 11:00:00Z;4,113814;0;2
2020-02-06 11:00:00Z;4,314013;0;2
2020-02-07 11:00:00Z;4,130845;0;2
2020-02-08 11:00:00Z;4,011794;0;2
2020-02-09 11:00:00Z;4,837757;0;2
2020-02-10 11:00:00Z;5,771033;0;2
2020-02-11 11:00:00Z;4,815116;0;2
2020-02-12 11:00:00Z;4,605266;0;2
2020-02-13 11:00:00Z;4,256923;0;2
2020-02-14 11:00:00Z;4,144038;0;2
2020-02-15 11:00:00Z;4,25231;0;2
2020-02-16 11:00:00Z;6,711868;0;2
2020-02-17 11:00:00Z;8,913514;0;2
2020-02-18 11:00:00Z;10,14261;0;2
2020-02-19 11:00:00Z;6,556417;0;2
2020-02-20 11:00:00Z;5,877292;0;2
2020-02-21 11:00:00Z;6,021818;0;2
2020-02-22 11:00:00Z;8,706851;0;2
2020-02-23 11:00:00Z;6,337656;0;2
2020-02-24 11:00:00Z;5,440217;0;2
2020-02-25 11:00:00Z;4,81517;0;2
2020-02-26 11:00:00Z;4,067686;0;2
2020-02-27 11:00:00Z;3,909983;0;2
2020-02-28 11:00:00Z;3,877596;0;2
2020-02-29 11:00:00Z;3,801106;0;2
2020-03-01 11:00:00Z;3,760105;0;2
2020-03-02 11:00:00Z;3,78945;0;2
2020-03-03 11:00:00Z;3,880143;0;2
2020-03-04 11:00:00Z;4,041281;0;2
2020-03-05 11:00:00Z;4,022843;0;2
2020-03-06 11:00:00Z;3,939001;0;2
2020-03-07 11:00:00Z;3,914195;0;2
2020-03-08 11:00:00Z;4,459966;0;2
2020-03-09 11:00:00Z;5,580159;0;2
2020-03-10 11:00:00Z;5,043808;0;2
2020-03-11 11:00:00Z;6,436567;0;2
2020-03-12 11:00:00Z;5,581619;0;2
2020-03-13 11:00:00Z;4,733209;0;2
2020-03-14 11:00:00Z;4,377252;0;2
2020-03-15 11:00:00Z;4,974942;0;2
2020-03-16 11:00:00Z;4,927305;0;2
2020-03-17 11:00:00Z;5,085497;0;2
2020-03-18 11:00:00Z;6,347966;0;2
2020-03-19 11:00:00Z;5,232829;0;2
2020-03-20 11:00:00Z;4,760242;0;2
2020-03-21 11:00:00Z;4,402911;0;2
2020-03-22 11:00:00Z;4,271986;0;2
2020-03-23 11:00:00Z;4,607528;0;2
2020-03-24 11:00:00Z;5,481802;0;2
2020-03-25 11:00:00Z;6,070343;0;2
2020-03-26 11:00:00Z;9,015845;0;2
2020-03-27 11:00:00Z;7,621767;0;2
2020-03-28 11:00:00Z;6,351285;0;2
2020-03-29 11:00:00Z;5,601148;0;2
2020-03-30 11:00:00Z;5,398068;0;2
2020-03-31 11:00:00Z;5,115741;0;2
2020-04-01 11:00:00Z;5,322536;0;2
2020-04-02 11:00:00Z;5,552575;0;2
2020-04-03 11:00:00Z;5,269348;0;2
2020-04-04 11:00:00Z;5,06378;0;2
2020-04-05 11:00:00Z;4,798018;0;2
2020-04-06 11:00:00Z;5,441678;0;2
2020-04-07 11:00:00Z;7,071694;0;2
2020-04-08 11:00:00Z;7,595055;0;2
2020-04-09 11:00:00Z;6,632484;0;2
2020-04-10 11:00:00Z;5,943178;0;2
2020-04-11 11:00:00Z;5,911807;0;2
2020-04-12 11:00:00Z;7,537874;0;2
2020-04-13 11:00:00Z;6,327275;0;2
2020-04-14 11:00:00Z;6,132286;0;2
2020-04-15 11:00:00Z;7,410644;0;2
2020-04-16 11:00:00Z;8,31907;0;2
2020-04-17 11:00:00Z;6,17599;0;2
2020-04-18 11:00:00Z;6,043504;0;2
