#Stuvane, 73.2.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;22,7773;0;3
2020-01-02 11:00:00Z;20,90173;0;3
2020-01-03 11:00:00Z;19,40085;0;3
2020-01-04 11:00:00Z;17,85012;0;3
2020-01-05 11:00:00Z;17,93645;0;3
2020-01-06 11:00:00Z;18,5368;0;3
2020-01-07 11:00:00Z;19,55264;0;3
2020-01-08 11:00:00Z;29,19866;0;3
2020-01-09 11:00:00Z;29,14069;0;3
2020-01-10 11:00:00Z;27,65764;0;3
2020-01-11 11:00:00Z;24,65316;0;3
2020-01-12 11:00:00Z;26,65447;0;3
2020-01-13 11:00:00Z;26,84094;0;3
2020-01-14 11:00:00Z;24,05699;0;3
2020-01-15 11:00:00Z;23,52738;0;3
2020-01-16 11:00:00Z;22,73234;0;3
2020-01-17 11:00:00Z;22,58829;0;3
2020-01-18 11:00:00Z;22,0838;0;3
2020-01-19 11:00:00Z;21,42869;0;3
2020-01-20 11:00:00Z;21,02204;0;3
2020-01-21 11:00:00Z;33,065;0;3
2020-01-22 11:00:00Z;30,07138;0;3
2020-01-23 11:00:00Z;27,84815;0;3
2020-01-24 11:00:00Z;26,44312;0;3
2020-01-25 11:00:00Z;24,18471;0;3
2020-01-26 11:00:00Z;23,00708;0;3
2020-01-27 11:00:00Z;23,21794;0;3
2020-01-28 11:00:00Z;22,48044;0;3
2020-01-29 11:00:00Z;22,62367;0;3
2020-01-30 11:00:00Z;21,53349;0;3
2020-01-31 11:00:00Z;20,75058;0;3
2020-02-01 11:00:00Z;19,39605;0;3
2020-02-02 11:00:00Z;19,4489;0;3
2020-02-03 11:00:00Z;21,92558;0;3
2020-02-04 11:00:00Z;25,72394;0;3
2020-02-05 11:00:00Z;24,55468;0;3
2020-02-06 11:00:00Z;23,0066;0;3
2020-02-07 11:00:00Z;22,35033;0;3
2020-02-08 11:00:00Z;19,63074;0;3
2020-02-09 11:00:00Z;16,99319;0;3
2020-02-10 11:00:00Z;15,91617;0;3
2020-02-11 11:00:00Z;16,34557;0;3
2020-02-12 11:00:00Z;17,5115;0;3
2020-02-13 11:00:00Z;18,37123;0;3
2020-02-14 11:00:00Z;20,55816;0;3
2020-02-15 11:00:00Z;19,05059;0;3
2020-02-16 11:00:00Z;16,28719;0;3
2020-02-17 11:00:00Z;16,54271;0;3
2020-02-18 11:00:00Z;17,40762;0;3
2020-02-19 11:00:00Z;18,60598;0;3
2020-02-20 11:00:00Z;19,34937;0;3
2020-02-21 11:00:00Z;16,35438;0;3
2020-02-22 11:00:00Z;17,40018;0;3
2020-02-23 11:00:00Z;15,78494;0;3
2020-02-24 11:00:00Z;18,4618;0;3
2020-02-25 11:00:00Z;19,81696;0;3
2020-02-26 11:00:00Z;20,19341;0;3
2020-02-27 11:00:00Z;22,46397;0;3
2020-02-28 11:00:00Z;21,59291;0;3
2020-02-29 11:00:00Z;22,23837;0;3
2020-03-01 11:00:00Z;19,48389;0;3
2020-03-02 11:00:00Z;20,89991;0;3
2020-03-03 11:00:00Z;21,55697;0;3
2020-03-04 11:00:00Z;20,67702;0;3
