#Utla, 74.15.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;3,859464;0;3
2020-01-02 11:00:00Z;3,130688;0;3
2020-01-03 11:00:00Z;5,380882;0;3
2020-01-04 11:00:00Z;3,149682;0;3
2020-01-05 11:00:00Z;2,50429;0;3
2020-01-06 11:00:00Z;3,437324;0;3
2020-01-07 11:00:00Z;5,734235;0;3
2020-01-08 11:00:00Z;19,09196;0;3
2020-01-09 11:00:00Z;8,990233;0;3
2020-01-10 11:00:00Z;4,638178;0;3
2020-01-11 11:00:00Z;4,453155;0;3
2020-01-12 11:00:00Z;6,618651;0;3
2020-01-13 11:00:00Z;4,242397;0;3
2020-01-14 11:00:00Z;3,248794;0;3
2020-01-15 11:00:00Z;2,919538;0;3
2020-01-16 11:00:00Z;3,646718;0;3
2020-01-17 11:00:00Z;3,747952;0;3
2020-01-18 11:00:00Z;3,138265;0;3
2020-01-19 11:00:00Z;2,511658;0;3
2020-01-20 11:00:00Z;2,448364;0;3
2020-01-21 11:00:00Z;14,84163;0;3
2020-01-22 11:00:00Z;7,909809;0;3
2020-01-23 11:00:00Z;5,556581;0;3
2020-01-24 11:00:00Z;6,687399;0;3
2020-01-25 11:00:00Z;4,102614;0;3
2020-01-26 11:00:00Z;3,559663;0;3
2020-01-27 11:00:00Z;3,197957;0;3
2020-01-28 11:00:00Z;2,537324;0;3
2020-01-29 11:00:00Z;2,150526;0;3
2020-01-30 11:00:00Z;1,832508;0;3
2020-01-31 11:00:00Z;1,676926;0;3
2020-02-01 11:00:00Z;2,182188;0;3
2020-02-02 11:00:00Z;2,40986;0;3
2020-02-03 11:00:00Z;1,486471;0;3
2020-02-04 11:00:00Z;1,518682;0;3
2020-02-05 11:00:00Z;1,477552;0;3
2020-02-06 11:00:00Z;1,690487;0;3
2020-02-07 11:00:00Z;1,681052;0;3
2020-02-08 11:00:00Z;1,454223;0;3
2020-02-09 11:00:00Z;1,394806;0;3
2020-02-10 11:00:00Z;1,452483;0;3
2020-02-11 11:00:00Z;1,40607;0;3
2020-02-12 11:00:00Z;1,374308;0;3
2020-02-13 11:00:00Z;1,196661;0;3
2020-02-14 11:00:00Z;1,123264;0;3
2020-02-15 11:00:00Z;1,199137;0;3
2020-02-16 11:00:00Z;1,532754;0;3
2020-02-17 11:00:00Z;2,142157;0;3
2020-02-18 11:00:00Z;3,88912;0;3
2020-02-19 11:00:00Z;2,765369;0;3
2020-02-20 11:00:00Z;1,969941;0;3
2020-02-21 11:00:00Z;1,893337;0;3
2020-02-22 11:00:00Z;4,167883;0;3
2020-02-23 11:00:00Z;3,002521;0;3
2020-02-24 11:00:00Z;2,007138;0;3
2020-02-25 11:00:00Z;1,551825;0;3
2020-02-26 11:00:00Z;1,197757;0;3
2020-02-27 11:00:00Z;1,136363;0;3
2020-02-28 11:00:00Z;1,137908;0;3
2020-02-29 11:00:00Z;0,9654669;0;3
2020-03-01 11:00:00Z;0,9545075;0;3
2020-03-02 11:00:00Z;0,9216658;0;3
2020-03-03 11:00:00Z;0,8781458;0;3
2020-03-04 11:00:00Z;0,8433571;0;3
2020-03-05 11:00:00Z;0,8033234;0;3
2020-03-06 11:00:00Z;0,7444395;0;3
2020-03-07 11:00:00Z;0,706587;0;3
2020-03-08 11:00:00Z;0,780255;0;3
2020-03-09 11:00:00Z;1,340925;0;3
2020-03-10 11:00:00Z;1,311105;0;3
2020-03-11 11:00:00Z;1,218732;0;3
2020-03-12 11:00:00Z;1,235916;0;3
2020-03-13 11:00:00Z;1,040197;0;3
2020-03-14 11:00:00Z;0,799872;0;3
2020-03-15 11:00:00Z;0,9284927;0;3
2020-03-16 11:00:00Z;1,084591;0;3
2020-03-17 11:00:00Z;1,141999;0;3
2020-03-18 11:00:00Z;1,595755;0;3
2020-03-19 11:00:00Z;1,398129;0;3
2020-03-20 11:00:00Z;1,160982;0;3
2020-03-21 11:00:00Z;0,9628139;0;3
2020-03-22 11:00:00Z;0,9125986;0;3
2020-03-23 11:00:00Z;0,8544654;0;3
2020-03-24 11:00:00Z;0,8207658;0;3
2020-03-25 11:00:00Z;1,692602;0;3
2020-03-26 11:00:00Z;5,132541;0;3
2020-03-27 11:00:00Z;3,583176;0;3
2020-03-28 11:00:00Z;2,409755;0;3
2020-03-29 11:00:00Z;1,588377;0;3
2020-03-30 11:00:00Z;1,359193;0;3
2020-03-31 11:00:00Z;1,214057;0;3
2020-04-01 11:00:00Z;1,323736;0;3
2020-04-02 11:00:00Z;1,497352;0;3
2020-04-03 11:00:00Z;1,137667;0;3
2020-04-04 11:00:00Z;0,9769703;0;3
2020-04-05 11:00:00Z;0,9370056;0;3
2020-04-06 11:00:00Z;1,033914;0;3
2020-04-07 11:00:00Z;2,846394;0;3
2020-04-08 11:00:00Z;3,342452;0;3
2020-04-09 11:00:00Z;2,938496;0;3
2020-04-10 11:00:00Z;1,926113;0;3
2020-04-11 11:00:00Z;1,656938;0;3
2020-04-12 11:00:00Z;1,981696;0;3
2020-04-13 11:00:00Z;1,93753;0;3
2020-04-14 11:00:00Z;1,47165;0;3
2020-04-15 11:00:00Z;2,877903;0;3
2020-04-16 11:00:00Z;5,611676;0;3
2020-04-17 11:00:00Z;2,883301;0;3
2020-04-18 11:00:00Z;2,339679;0;3
2020-04-19 11:00:00Z;2,417968;0;3
2020-04-20 11:00:00Z;3,432388;0;3
2020-04-21 11:00:00Z;5,18913;0;3
2020-04-22 11:00:00Z;6,673007;0;3
2020-04-23 11:00:00Z;7,832907;0;3
2020-04-24 11:00:00Z;8,021102;0;3
2020-04-25 11:00:00Z;7,334414;0;3
2020-04-26 11:00:00Z;7,23592;0;3
2020-04-27 11:00:00Z;6,336276;0;3
2020-04-28 11:00:00Z;5,471765;0;3
2020-04-29 11:00:00Z;5,206531;0;3
2020-04-30 11:00:00Z;4,848053;0;3
2020-05-01 11:00:00Z;4,225252;0;3
2020-05-02 11:00:00Z;3,864815;0;3
2020-05-03 11:00:00Z;3,876643;0;3
2020-05-04 11:00:00Z;3,949105;0;3
2020-05-05 11:00:00Z;3,5937;0;3
2020-05-06 11:00:00Z;3,423501;0;3
2020-05-07 11:00:00Z;4,891978;0;3
2020-05-08 11:00:00Z;5,069967;0;3
2020-05-09 11:00:00Z;5,277637;0;3
2020-05-10 11:00:00Z;4,412076;0;3
2020-05-11 11:00:00Z;3,652233;0;3
2020-05-12 11:00:00Z;3,252128;0;3
2020-05-13 11:00:00Z;2,763134;0;3
2020-05-14 11:00:00Z;2,472044;0;3
2020-05-15 11:00:00Z;2,255528;0;3
2020-05-16 11:00:00Z;2,189545;0;3
2020-05-17 11:00:00Z;2,027828;0;3
2020-05-18 11:00:00Z;1,956066;0;3
2020-05-19 11:00:00Z;2,64736;0;3
2020-05-20 11:00:00Z;3,947557;0;3
2020-05-21 11:00:00Z;6,474049;0;3
2020-05-22 11:00:00Z;14,77465;0;3
2020-05-23 11:00:00Z;34,19353;0;3
2020-05-24 11:00:00Z;33,80886;0;3
2020-05-25 11:00:00Z;32,93761;0;3
2020-05-26 11:00:00Z;30,11045;0;3
2020-05-27 11:00:00Z;25,21079;0;3
2020-05-28 11:00:00Z;24,46907;0;3
2020-05-29 11:00:00Z;24,35476;0;3
2020-05-30 11:00:00Z;33,00056;0;3
2020-05-31 11:00:00Z;54,91904;0;3
2020-06-01 11:00:00Z;66,65433;0;3
2020-06-02 11:00:00Z;67,58037;0;3
2020-06-03 11:00:00Z;67,09875;0;3
2020-06-04 11:00:00Z;87,03468;0;3
2020-06-05 11:00:00Z;101,849;0;3
2020-06-06 11:00:00Z;98,55979;0;3
2020-06-07 11:00:00Z;78,74539;0;3
2020-06-08 11:00:00Z;64,65441;0;3
2020-06-09 11:00:00Z;50,91461;0;3
2020-06-10 11:00:00Z;61,58167;0;3
2020-06-11 11:00:00Z;78,54269;0;3
2020-06-12 11:00:00Z;96,93618;0;3
2020-06-13 11:00:00Z;111,129;0;3
2020-06-14 11:00:00Z;126,0355;0;3
2020-06-15 11:00:00Z;119,2066;0;3
2020-06-16 11:00:00Z;134,2906;0;3
2020-06-17 11:00:00Z;146,6864;0;3
2020-06-18 11:00:00Z;131,5967;0;3
2020-06-19 11:00:00Z;127,4265;0;3
2020-06-20 11:00:00Z;148,8105;0;3
2020-06-21 11:00:00Z;192,2449;0;3
2020-06-22 11:00:00Z;189,1943;0;3
2020-06-23 11:00:00Z;90,41543;0;3
2020-06-24 11:00:00Z;84,86371;0;3
2020-06-25 11:00:00Z;96,10763;0;3
2020-06-26 11:00:00Z;102,3768;0;3
2020-06-27 11:00:00Z;105,9681;0;3
2020-06-28 11:00:00Z;151,4188;0;3
2020-06-29 11:00:00Z;115,6359;0;3
2020-06-30 11:00:00Z;64,80981;0;3
2020-07-01 11:00:00Z;49,18618;0;3
2020-07-02 11:00:00Z;34,30754;0;3
2020-07-03 11:00:00Z;24,58248;0;3
2020-07-04 11:00:00Z;18,74486;0;3
2020-07-05 11:00:00Z;28,56869;0;3
2020-07-06 11:00:00Z;56,68614;0;3
2020-07-07 11:00:00Z;34,74084;0;3
2020-07-08 11:00:00Z;25,53964;0;3
2020-07-09 11:00:00Z;23,15321;0;3
2020-07-10 11:00:00Z;20,82867;0;3
2020-07-11 11:00:00Z;20,82977;0;3
2020-07-12 11:00:00Z;20,04691;0;3
2020-07-13 11:00:00Z;20,75639;0;3
2020-07-14 11:00:00Z;20,85274;0;3
2020-07-15 11:00:00Z;31,58227;0;3
2020-07-16 11:00:00Z;37,29334;0;3
2020-07-17 11:00:00Z;48,65672;0;3
2020-07-18 11:00:00Z;68,33694;0;3
2020-07-19 11:00:00Z;63,90556;0;3
2020-07-20 11:00:00Z;38,99731;0;3
2020-07-21 11:00:00Z;29,76026;0;3
2020-07-22 11:00:00Z;23,46693;0;3
2020-07-23 11:00:00Z;18,4913;0;3
2020-07-24 11:00:00Z;16,00118;0;3
2020-07-25 11:00:00Z;15,69982;0;3
2020-07-26 11:00:00Z;32,05708;0;3
2020-07-27 11:00:00Z;102,4213;0;3
2020-07-28 11:00:00Z;62,8686;0;3
2020-07-29 11:00:00Z;52,06467;0;3
2020-07-30 11:00:00Z;34,22605;0;3
2020-07-31 11:00:00Z;30,70639;0;3
2020-08-01 11:00:00Z;34,71988;0;3
2020-08-02 11:00:00Z;42,09191;0;3
2020-08-03 11:00:00Z;85,10078;0;3
2020-08-04 11:00:00Z;36,30756;0;3
2020-08-05 11:00:00Z;42,63202;0;3
2020-08-06 11:00:00Z;51,04971;0;3
2020-08-07 11:00:00Z;41,203;0;3
2020-08-08 11:00:00Z;39,49163;0;3
2020-08-09 11:00:00Z;31,49618;0;3
