#Fornabu, 74.18.0, Vannføring, inst
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 00:00:00Z;1,639942;0;2
2020-01-01 01:00:00Z;1,569797;0;2
2020-01-01 02:00:00Z;1,569797;0;2
2020-01-01 03:00:00Z;1,526791;0;2
2020-01-01 04:00:00Z;1,484427;0;2
2020-01-01 05:00:00Z;1,409783;0;2
2020-01-01 06:00:00Z;1,321355;0;2
2020-01-01 07:00:00Z;1,313468;0;2
2020-01-01 08:00:00Z;1,289961;0;2
2020-01-01 09:00:00Z;1,258973;0;2
2020-01-01 10:00:00Z;1,213248;0;2
2020-01-01 11:00:00Z;1,24363;0;2
2020-01-01 12:00:00Z;1,220806;0;2
2020-01-01 13:00:00Z;1,251288;0;2
2020-01-01 14:00:00Z;1,175837;0;2
2020-01-01 15:00:00Z;1,161049;0;2
2020-01-01 16:00:00Z;1,146361;0;2
2020-01-01 17:00:00Z;1,146361;0;2
2020-01-01 18:00:00Z;1,131774;0;2
2020-01-01 19:00:00Z;1,131774;0;2
2020-01-01 20:00:00Z;1,110082;0;2
2020-01-01 21:00:00Z;1,095745;0;2
2020-01-01 22:00:00Z;1,124519;0;2
2020-01-01 23:00:00Z;1,139055;0;2
2020-01-02 00:00:00Z;1,117288;0;2
2020-01-02 01:00:00Z;1,102901;0;2
2020-01-02 02:00:00Z;1,102901;0;2
2020-01-02 03:00:00Z;1,095745;0;2
2020-01-02 04:00:00Z;1,095745;0;2
2020-01-02 05:00:00Z;1,095745;0;2
2020-01-02 06:00:00Z;1,088615;0;2
2020-01-02 07:00:00Z;1,074428;0;2
2020-01-02 08:00:00Z;1,060341;0;2
2020-01-02 09:00:00Z;1,060341;0;2
2020-01-02 10:00:00Z;1,046355;0;2
2020-01-02 11:00:00Z;1,046355;0;2
2020-01-02 12:00:00Z;1,039399;0;2
2020-01-02 13:00:00Z;1,025562;0;2
2020-01-02 14:00:00Z;1,039399;0;2
2020-01-02 15:00:00Z;1,032468;0;2
2020-01-02 16:00:00Z;1,004993;0;2
2020-01-02 17:00:00Z;1,01868;0;2
2020-01-02 18:00:00Z;0,9914044;0;2
2020-01-02 19:00:00Z;1,004993;0;2
2020-01-02 20:00:00Z;1,01868;0;2
2020-01-02 21:00:00Z;1,074428;0;2
2020-01-02 22:00:00Z;1,102901;0;2
2020-01-02 23:00:00Z;1,124519;0;2
2020-01-03 00:00:00Z;1,095745;0;2
2020-01-03 01:00:00Z;1,095745;0;2
2020-01-03 02:00:00Z;1,175837;0;2
2020-01-03 03:00:00Z;1,377271;0;2
2020-01-03 04:00:00Z;1,509768;0;2
2020-01-03 05:00:00Z;1,476031;0;2
2020-01-03 06:00:00Z;1,426192;0;2
2020-01-03 07:00:00Z;1,345167;0;2
2020-01-03 08:00:00Z;1,282176;0;2
2020-01-03 09:00:00Z;1,274416;0;2
2020-01-03 10:00:00Z;1,205715;0;2
2020-01-03 11:00:00Z;1,205715;0;2
2020-01-03 12:00:00Z;1,175837;0;2
2020-01-03 13:00:00Z;1,146361;0;2
2020-01-03 14:00:00Z;1,153693;0;2
2020-01-03 15:00:00Z;1,131774;0;2
2020-01-03 16:00:00Z;1,102901;0;2
2020-01-03 17:00:00Z;1,074428;0;2
2020-01-03 18:00:00Z;1,01868;0;2
2020-01-03 19:00:00Z;0,9846471;0;2
2020-01-03 20:00:00Z;1,004993;0;2
