#Fortun, 75.18.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;10,77703;0;2
2020-01-02 11:00:00Z;9,612951;0;2
2020-01-03 11:00:00Z;12,28005;0;2
2020-01-04 11:00:00Z;18,99066;0;2
2020-01-05 11:00:00Z;21,68577;0;2
2020-01-06 11:00:00Z;19,13911;0;2
2020-01-07 11:00:00Z;21,54118;0;2
2020-01-08 11:00:00Z;25,21348;0;2
2020-01-09 11:00:00Z;28,84834;0;2
2020-01-10 11:00:00Z;25,72062;0;2
2020-01-11 11:00:00Z;23,35861;0;2
2020-01-12 11:00:00Z;25,94907;0;2
2020-01-13 11:00:00Z;29,33375;0;2
2020-01-14 11:00:00Z;20,34756;0;2
2020-01-15 11:00:00Z;27,10618;0;2
2020-01-16 11:00:00Z;26,22534;0;2
2020-01-17 11:00:00Z;26,50696;0;2
2020-01-18 11:00:00Z;19,15093;0;2
2020-01-19 11:00:00Z;16,31674;0;2
2020-01-20 11:00:00Z;11,82386;0;2
2020-01-21 11:00:00Z;24,03638;0;2
2020-01-22 11:00:00Z;22,4632;0;2
2020-01-23 11:00:00Z;22,4132;0;2
2020-01-24 11:00:00Z;20,77149;0;2
2020-01-25 11:00:00Z;18,53176;0;2
2020-01-26 11:00:00Z;15,22114;0;2
2020-01-27 11:00:00Z;16,03955;0;2
2020-01-28 11:00:00Z;20,29508;0;2
2020-01-29 11:00:00Z;17,99485;0;2
2020-01-30 11:00:00Z;9,43049;0;2
2020-01-31 11:00:00Z;7,961932;0;2
2020-02-01 11:00:00Z;5,967576;0;2
2020-02-02 11:00:00Z;9,125275;0;2
2020-02-03 11:00:00Z;22,19081;0;2
2020-02-04 11:00:00Z;24,8877;0;2
2020-02-05 11:00:00Z;21,67205;0;2
2020-02-06 11:00:00Z;18,3231;0;2
2020-02-07 11:00:00Z;23,20864;0;2
2020-02-08 11:00:00Z;21,62848;0;2
2020-02-09 11:00:00Z;11,24827;0;2
2020-02-10 11:00:00Z;9,65662;0;2
2020-02-11 11:00:00Z;12,83481;0;2
2020-02-12 11:00:00Z;19,03879;0;2
2020-02-13 11:00:00Z;16,90111;0;2
2020-02-14 11:00:00Z;15,08712;0;2
2020-02-15 11:00:00Z;15,72355;0;2
2020-02-16 11:00:00Z;11,4938;0;2
2020-02-17 11:00:00Z;18,8986;0;2
2020-02-18 11:00:00Z;18,42843;0;2
2020-02-19 11:00:00Z;25,49934;0;2
2020-02-20 11:00:00Z;24,66523;0;2
2020-02-21 11:00:00Z;21,66286;0;2
2020-02-22 11:00:00Z;11,80901;0;2
2020-02-23 11:00:00Z;10,52475;0;2
2020-02-24 11:00:00Z;22,06249;0;2
2020-02-25 11:00:00Z;17,84571;0;2
2020-02-26 11:00:00Z;24,71173;0;2
2020-02-27 11:00:00Z;21,14396;0;2
2020-02-28 11:00:00Z;20,98951;0;2
2020-02-29 11:00:00Z;17,83943;0;2
2020-03-01 11:00:00Z;15,1302;0;2
2020-03-02 11:00:00Z;16,79925;0;2
2020-03-03 11:00:00Z;12,52129;0;2
2020-03-04 11:00:00Z;21,94339;0;2
2020-03-05 11:00:00Z;19,23148;0;2
2020-03-06 11:00:00Z;22,58272;0;2
2020-03-07 11:00:00Z;21,85692;0;2
2020-03-08 11:00:00Z;12,44623;0;2
2020-03-09 11:00:00Z;15,22849;0;2
2020-03-10 11:00:00Z;17,9961;0;2
2020-03-11 11:00:00Z;14,16831;0;2
2020-03-12 11:00:00Z;13,72096;0;2
2020-03-13 11:00:00Z;17,83484;0;2
2020-03-14 11:00:00Z;14,52314;0;2
2020-03-15 11:00:00Z;15,74524;0;2
2020-03-16 11:00:00Z;17,22241;0;2
2020-03-17 11:00:00Z;15,46717;0;2
