#Krokenelv, 75.23.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;0,8115175;0;3
2020-01-02 11:00:00Z;0,6873847;0;3
2020-01-03 11:00:00Z;1,141761;0;3
2020-01-04 11:00:00Z;0,6711107;0;3
2020-01-05 11:00:00Z;0,5752441;0;3
2020-01-06 11:00:00Z;0,9316917;0;3
2020-01-07 11:00:00Z;1,303936;0;3
2020-01-08 11:00:00Z;3,574118;0;3
2020-01-09 11:00:00Z;1,331385;0;3
2020-01-10 11:00:00Z;0,7806541;0;3
2020-01-11 11:00:00Z;1,150379;0;3
2020-01-12 11:00:00Z;1,165186;0;3
2020-01-13 11:00:00Z;0,7401631;0;3
2020-01-14 11:00:00Z;0,6448416;0;3
2020-01-15 11:00:00Z;0,5861186;0;3
2020-01-16 11:00:00Z;0,7192132;0;3
2020-01-17 11:00:00Z;0,6770273;0;3
2020-01-18 11:00:00Z;0,6054805;0;3
2020-01-19 11:00:00Z;0,4995396;0;3
2020-01-20 11:00:00Z;0,5382711;3;3
2020-01-21 11:00:00Z;2,134178;3;3
2020-01-22 11:00:00Z;1,149595;3;3
2020-01-23 11:00:00Z;0,9396463;3;3
2020-01-24 11:00:00Z;1,009055;3;3
2020-01-25 11:00:00Z;0,7387818;3;3
2020-01-26 11:00:00Z;0,6774769;3;3
2020-01-27 11:00:00Z;0,6078739;3;3
2020-01-28 11:00:00Z;0,5164703;3;3
2020-01-29 11:00:00Z;0,4550644;3;3
2020-01-30 11:00:00Z;0,4037904;3;3
2020-01-31 11:00:00Z;0,3735231;3;3
2020-02-01 11:00:00Z;0,578092;3;3
2020-02-02 11:00:00Z;0,5382711;3;3
2020-02-03 11:00:00Z;0,3993566;3;3
2020-02-04 11:00:00Z;0,3219045;3;3
2020-02-05 11:00:00Z;0,3610914;3;3
2020-02-06 11:00:00Z;0,3529797;3;3
2020-02-07 11:00:00Z;0,3489757;3;3
2020-02-08 11:00:00Z;0,3181711;3;3
2020-02-09 11:00:00Z;0,3371709;3;3
2020-02-10 11:00:00Z;0,3693435;3;3
2020-02-11 11:00:00Z;0,3219045;3;3
2020-02-12 11:00:00Z;0,3144705;3;3
2020-02-13 11:00:00Z;0,2725599;3;3
2020-02-14 11:00:00Z;0,2758808;3;3
2020-02-15 11:00:00Z;0,2792322;3;3
2020-02-16 11:00:00Z;0,5272855;3;3
2020-02-17 11:00:00Z;0,613967;3;3
2020-02-18 11:00:00Z;0,7317704;3;3
2020-02-19 11:00:00Z;0,4850315;3;3
2020-02-20 11:00:00Z;0,4037904;3;3
2020-02-21 11:00:00Z;0,4218999;3;3
2020-02-22 11:00:00Z;0,6774769;3;3
2020-02-23 11:00:00Z;0,4748812;3;3
2020-02-24 11:00:00Z;0,3610914;3;3
2020-02-25 11:00:00Z;0,2964548;3;3
2020-02-26 11:00:00Z;0,2440159;3;3
2020-02-27 11:00:00Z;0,2564071;3;3
2020-02-28 11:00:00Z;0,3071676;1;3
2020-02-29 11:00:00Z;0,2860277;1;3
2020-03-01 11:00:00Z;0,236258;0;3
2020-03-02 11:00:00Z;0,2234289;3;3
2020-03-03 11:00:00Z;0,2177965;3;3
2020-03-04 11:00:00Z;0,2177965;3;3
2020-03-05 11:00:00Z;0,2122722;3;3
2020-03-06 11:00:00Z;0,1912295;3;3
2020-03-07 11:00:00Z;0,1912295;3;3
2020-03-08 11:00:00Z;0,2440159;3;3
2020-03-09 11:00:00Z;0,3294706;3;3
2020-03-10 11:00:00Z;0,2860277;3;3
2020-03-11 11:00:00Z;0,2792322;3;3
2020-03-12 11:00:00Z;0,2692693;3;3
2020-03-13 11:00:00Z;0,2320838;3;3
2020-03-14 11:00:00Z;0,2095503;3;3
2020-03-15 11:00:00Z;0,2532655;3;3
2020-03-16 11:00:00Z;0,2826144;3;3
2020-03-17 11:00:00Z;0,3035647;3;3
2020-03-18 11:00:00Z;0,3219045;3;3
