#Myklemyr, 76.10.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;7,354749;0;3
2020-01-02 11:00:00Z;9,494018;0;3
2020-01-03 11:00:00Z;23,79089;0;3
2020-01-04 11:00:00Z;7,912845;0;3
2020-01-05 11:00:00Z;5,80639;0;3
2020-01-06 11:00:00Z;5,25191;0;3
2020-01-07 11:00:00Z;8,004552;0;3
2020-01-08 11:00:00Z;22,69025;0;3
2020-01-09 11:00:00Z;9,601605;0;3
2020-01-10 11:00:00Z;6,220448;0;3
2020-01-11 11:00:00Z;5,542632;0;3
2020-01-12 11:00:00Z;6,638389;0;3
2020-01-13 11:00:00Z;5,375983;0;3
2020-01-14 11:00:00Z;5,391541;0;3
2020-01-15 11:00:00Z;6,509647;0;3
2020-01-16 11:00:00Z;7,807987;0;3
2020-01-17 11:00:00Z;6,852014;0;3
2020-01-18 11:00:00Z;5,519599;0;3
2020-01-19 11:00:00Z;4,644753;0;3
2020-01-20 11:00:00Z;4,846005;0;3
2020-01-21 11:00:00Z;27,12738;0;3
2020-01-22 11:00:00Z;13,25069;0;3
2020-01-23 11:00:00Z;7,736652;0;3
2020-01-24 11:00:00Z;8,858108;0;3
2020-01-25 11:00:00Z;6,535415;0;3
2020-01-26 11:00:00Z;6,126243;0;3
2020-01-27 11:00:00Z;6,050411;0;3
2020-01-28 11:00:00Z;5,650292;0;3
2020-01-29 11:00:00Z;4,740175;0;3
2020-01-30 11:00:00Z;4,25315;0;3
2020-01-31 11:00:00Z;3,929224;0;3
2020-02-01 11:00:00Z;4,046084;0;3
2020-02-02 11:00:00Z;3,935644;0;3
2020-02-03 11:00:00Z;3,01226;0;3
2020-02-04 11:00:00Z;2,885396;0;3
2020-02-05 11:00:00Z;3,224834;0;3
2020-02-06 11:00:00Z;3,933893;0;3
2020-02-07 11:00:00Z;4,103335;0;3
2020-02-08 11:00:00Z;3,648754;0;3
2020-02-09 11:00:00Z;5,066421;0;3
2020-02-10 11:00:00Z;7,521659;0;3
2020-02-11 11:00:00Z;5,512919;0;3
2020-02-12 11:00:00Z;4,512807;0;3
2020-02-13 11:00:00Z;3,782117;0;3
2020-02-14 11:00:00Z;3,371973;0;3
2020-02-15 11:00:00Z;3,226315;0;3
2020-02-16 11:00:00Z;4,991038;0;3
2020-02-17 11:00:00Z;8,515295;0;3
2020-02-18 11:00:00Z;9,402011;0;3
2020-02-19 11:00:00Z;6,279839;0;3
2020-02-20 11:00:00Z;4,890787;0;3
2020-02-21 11:00:00Z;4,792481;0;3
2020-02-22 11:00:00Z;7,818666;0;3
2020-02-23 11:00:00Z;5,316913;0;3
2020-02-24 11:00:00Z;4,204011;0;3
2020-02-25 11:00:00Z;3,317127;0;3
2020-02-26 11:00:00Z;3,001476;0;3
2020-02-27 11:00:00Z;3,142096;0;3
2020-02-28 11:00:00Z;2,973873;0;3
2020-02-29 11:00:00Z;2,751233;0;3
2020-03-01 11:00:00Z;2,782561;0;3
2020-03-02 11:00:00Z;2,614657;0;3
2020-03-03 11:00:00Z;2,48263;0;3
2020-03-04 11:00:00Z;2,413459;0;3
2020-03-05 11:00:00Z;2,325042;0;3
2020-03-06 11:00:00Z;2,289783;0;3
2020-03-07 11:00:00Z;2,240025;0;3
2020-03-08 11:00:00Z;2,773938;0;3
2020-03-09 11:00:00Z;6,062132;0;3
2020-03-10 11:00:00Z;5,240364;0;3
2020-03-11 11:00:00Z;4,557779;0;3
2020-03-12 11:00:00Z;4,607978;0;3
2020-03-13 11:00:00Z;3,746864;0;3
2020-03-14 11:00:00Z;3,153026;0;3
2020-03-15 11:00:00Z;3,097519;0;3
2020-03-16 11:00:00Z;2,993129;0;3
2020-03-17 11:00:00Z;3,64144;0;3
2020-03-18 11:00:00Z;4,575597;0;3
2020-03-19 11:00:00Z;3,711257;0;3
2020-03-20 11:00:00Z;3,263352;0;3
2020-03-21 11:00:00Z;2,850177;0;3
2020-03-22 11:00:00Z;2,769772;0;3
2020-03-23 11:00:00Z;2,660232;0;3
2020-03-24 11:00:00Z;3,251628;0;3
2020-03-25 11:00:00Z;7,817696;0;3
2020-03-26 11:00:00Z;11,70035;0;3
2020-03-27 11:00:00Z;7,9014;0;3
2020-03-28 11:00:00Z;6,3812;0;3
2020-03-29 11:00:00Z;5,285365;0;3
2020-03-30 11:00:00Z;4,559784;0;3
2020-03-31 11:00:00Z;4,087874;0;3
2020-04-01 11:00:00Z;4,634782;0;3
2020-04-02 11:00:00Z;5,269002;0;3
2020-04-03 11:00:00Z;4,281749;0;3
2020-04-04 11:00:00Z;3,662267;0;3
2020-04-05 11:00:00Z;3,304852;0;3
2020-04-06 11:00:00Z;3,168765;0;3
2020-04-07 11:00:00Z;6,077961;0;3
2020-04-08 11:00:00Z;10,04124;0;3
2020-04-09 11:00:00Z;8,508248;0;3
2020-04-10 11:00:00Z;6,249678;0;3
2020-04-11 11:00:00Z;5,643161;0;3
2020-04-12 11:00:00Z;5,711793;0;3
2020-04-13 11:00:00Z;5,624355;0;3
2020-04-14 11:00:00Z;4,875808;0;3
2020-04-15 11:00:00Z;8,070974;0;3
2020-04-16 11:00:00Z;11,08227;0;3
2020-04-17 11:00:00Z;7,254755;0;3
2020-04-18 11:00:00Z;6,508573;0;3
2020-04-19 11:00:00Z;6,802065;0;3
2020-04-20 11:00:00Z;8,799983;0;3
2020-04-21 11:00:00Z;12,7968;0;3
2020-04-22 11:00:00Z;15,77098;0;3
2020-04-23 11:00:00Z;17,51411;0;3
2020-04-24 11:00:00Z;18,2278;0;3
2020-04-25 11:00:00Z;15,92021;0;3
2020-04-26 11:00:00Z;14,76384;0;3
2020-04-27 11:00:00Z;13,51134;0;3
2020-04-28 11:00:00Z;11,66339;0;3
2020-04-29 11:00:00Z;9,366387;0;3
2020-04-30 11:00:00Z;8,234506;0;3
2020-05-01 11:00:00Z;8,16094;0;3
2020-05-02 11:00:00Z;7,685606;0;3
2020-05-03 11:00:00Z;8,38271;0;3
2020-05-04 11:00:00Z;8,538332;0;3
2020-05-05 11:00:00Z;7,842256;0;3
2020-05-06 11:00:00Z;7,62819;0;3
2020-05-07 11:00:00Z;8,972091;0;3
2020-05-08 11:00:00Z;10,33824;0;3
2020-05-09 11:00:00Z;11,84392;0;3
2020-05-10 11:00:00Z;9,234679;0;3
2020-05-11 11:00:00Z;7,415958;0;3
2020-05-12 11:00:00Z;6,939723;0;3
2020-05-13 11:00:00Z;6,432454;0;3
2020-05-14 11:00:00Z;6,142308;0;3
2020-05-15 11:00:00Z;5,813045;0;3
2020-05-16 11:00:00Z;5,734829;0;3
2020-05-17 11:00:00Z;5,420517;0;3
2020-05-18 11:00:00Z;6,09309;0;3
2020-05-19 11:00:00Z;7,561411;0;3
2020-05-20 11:00:00Z;8,82868;0;3
2020-05-21 11:00:00Z;11,62338;0;3
2020-05-22 11:00:00Z;27,50454;0;3
2020-05-23 11:00:00Z;76,58135;0;3
2020-05-24 11:00:00Z;54,88;0;3
2020-05-25 11:00:00Z;44,84222;0;3
2020-05-26 11:00:00Z;38,40269;0;3
2020-05-27 11:00:00Z;33,12311;0;3
2020-05-28 11:00:00Z;29,64866;0;3
2020-05-29 11:00:00Z;28,37772;0;3
2020-05-30 11:00:00Z;43,31683;0;3
2020-05-31 11:00:00Z;74,10198;0;3
2020-06-01 11:00:00Z;73,7809;0;3
2020-06-02 11:00:00Z;67,69265;0;3
2020-06-03 11:00:00Z;63,2327;0;3
2020-06-04 11:00:00Z;68,05502;0;3
2020-06-05 11:00:00Z;58,04784;0;3
2020-06-06 11:00:00Z;58,63924;0;3
2020-06-07 11:00:00Z;60,3918;0;3
2020-06-08 11:00:00Z;49,34065;0;3
2020-06-09 11:00:00Z;41,80762;0;3
2020-06-10 11:00:00Z;49,80964;0;3
2020-06-11 11:00:00Z;51,90072;0;3
2020-06-12 11:00:00Z;40,35199;0;3
2020-06-13 11:00:00Z;31,36761;0;3
2020-06-14 11:00:00Z;23,49904;0;3
2020-06-15 11:00:00Z;26,752;0;3
2020-06-16 11:00:00Z;87,68871;0;3
2020-06-17 11:00:00Z;125,0599;0;3
2020-06-18 11:00:00Z;116,4106;0;3
