#Sogndalsvatn, 77.3.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;8,948077;0;3
2020-01-02 11:00:00Z;7,386981;0;3
2020-01-03 11:00:00Z;12,87637;0;3
2020-01-04 11:00:00Z;8,916972;0;3
2020-01-05 11:00:00Z;6,556479;0;3
2020-01-06 11:00:00Z;5,911009;0;3
2020-01-07 11:00:00Z;7,141587;0;3
2020-01-08 11:00:00Z;13,09314;0;3
2020-01-09 11:00:00Z;10,93476;0;3
2020-01-10 11:00:00Z;7,149901;0;3
2020-01-11 11:00:00Z;5,845089;0;3
2020-01-12 11:00:00Z;6,387955;0;3
2020-01-13 11:00:00Z;5,607192;0;3
2020-01-14 11:00:00Z;4,78048;0;3
2020-01-15 11:00:00Z;4,537735;0;3
2020-01-16 11:00:00Z;4,720827;0;3
2020-01-17 11:00:00Z;5,474593;0;3
2020-01-18 11:00:00Z;5,119986;0;3
2020-01-19 11:00:00Z;4,372636;0;3
2020-01-20 11:00:00Z;4,235706;0;3
2020-01-21 11:00:00Z;20,07668;0;3
2020-01-22 11:00:00Z;14,61351;0;3
2020-01-23 11:00:00Z;8,607265;0;3
2020-01-24 11:00:00Z;10,08344;0;3
2020-01-25 11:00:00Z;7,723753;0;3
2020-01-26 11:00:00Z;6,683203;0;3
2020-01-27 11:00:00Z;5,986253;0;3
2020-01-28 11:00:00Z;5,078383;0;3
2020-01-29 11:00:00Z;4,26452;0;3
2020-01-30 11:00:00Z;3,677219;0;3
2020-01-31 11:00:00Z;3,252201;0;3
2020-02-01 11:00:00Z;3,411465;0;3
2020-02-02 11:00:00Z;3,706197;0;3
2020-02-03 11:00:00Z;3,356884;0;3
2020-02-04 11:00:00Z;2,913342;0;3
2020-02-05 11:00:00Z;2,610693;0;3
2020-02-06 11:00:00Z;2,98591;0;3
2020-02-07 11:00:00Z;3,538738;0;3
2020-02-08 11:00:00Z;3,360074;0;3
2020-02-09 11:00:00Z;3,245604;0;3
2020-02-10 11:00:00Z;3,798602;0;3
2020-02-11 11:00:00Z;3,856575;0;3
2020-02-12 11:00:00Z;3,639866;0;3
2020-02-13 11:00:00Z;3,120337;0;3
2020-02-14 11:00:00Z;2,705563;0;3
2020-02-15 11:00:00Z;2,484141;0;3
2020-02-16 11:00:00Z;2,680397;0;3
2020-02-17 11:00:00Z;3,51546;0;3
2020-02-18 11:00:00Z;5,329461;0;3
2020-02-19 11:00:00Z;5,121289;0;3
2020-02-20 11:00:00Z;4,268866;0;3
2020-02-21 11:00:00Z;3,852509;0;3
2020-02-22 11:00:00Z;4,851871;0;3
2020-02-23 11:00:00Z;4,763889;0;3
2020-02-24 11:00:00Z;4,063553;0;3
2020-02-25 11:00:00Z;3,405594;0;3
2020-02-26 11:00:00Z;2,845144;0;3
2020-02-27 11:00:00Z;2,399271;0;3
2020-02-28 11:00:00Z;2,129946;0;3
2020-02-29 11:00:00Z;1,888988;0;3
2020-03-01 11:00:00Z;1,726401;0;3
2020-03-02 11:00:00Z;1,6327;0;3
