#Mel, 78.12.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;2,384102;3;3
2020-01-02 11:00:00Z;2,153843;3;3
2020-01-03 11:00:00Z;4,512671;3;3
2020-01-04 11:00:00Z;1,787748;3;3
2020-01-05 11:00:00Z;1,306422;3;3
2020-01-06 11:00:00Z;2,134786;3;3
2020-01-07 11:00:00Z;3,530993;3;3
2020-01-08 11:00:00Z;6,204157;3;3
2020-01-09 11:00:00Z;2,72244;3;3
2020-01-10 11:00:00Z;1,568211;3;3
2020-01-11 11:00:00Z;1,951343;3;3
2020-01-12 11:00:00Z;2,654094;3;3
2020-01-13 11:00:00Z;1,657788;3;3
2020-01-14 11:00:00Z;1,588045;3;3
2020-01-15 11:00:00Z;1,439875;3;3
2020-01-16 11:00:00Z;2,207001;3;3
2020-01-17 11:00:00Z;1,981405;3;3
2020-01-18 11:00:00Z;1,626324;3;3
2020-01-19 11:00:00Z;1,567766;3;3
2020-01-20 11:00:00Z;2,855165;3;3
2020-01-21 11:00:00Z;9,743766;3;3
2020-01-22 11:00:00Z;3,605729;3;3
2020-01-23 11:00:00Z;2,955611;3;3
2020-01-24 11:00:00Z;4,227251;3;3
2020-01-25 11:00:00Z;2,240846;3;3
2020-01-26 11:00:00Z;2,110411;3;3
2020-01-27 11:00:00Z;1,820278;3;3
2020-01-28 11:00:00Z;1,397537;3;3
2020-01-29 11:00:00Z;1,076341;3;3
2020-01-30 11:00:00Z;0,8936957;3;3
2020-01-31 11:00:00Z;0,8157991;3;3
2020-02-01 11:00:00Z;1,59468;3;3
2020-02-02 11:00:00Z;1,164876;3;3
2020-02-03 11:00:00Z;0,8667854;3;3
2020-02-04 11:00:00Z;0,7227122;3;3
2020-02-05 11:00:00Z;0,9288542;3;3
2020-02-06 11:00:00Z;1,554075;3;3
2020-02-07 11:00:00Z;1,429259;3;3
2020-02-08 11:00:00Z;1,122327;3;3
2020-02-09 11:00:00Z;1,407878;3;3
2020-02-10 11:00:00Z;2,027832;3;3
2020-02-11 11:00:00Z;1,22587;3;3
2020-02-12 11:00:00Z;0,9691393;3;3
2020-02-13 11:00:00Z;0,8167308;3;3
2020-02-14 11:00:00Z;0,7364458;3;3
2020-02-15 11:00:00Z;0,7225231;3;3
2020-02-16 11:00:00Z;1,795974;3;3
2020-02-17 11:00:00Z;2,239905;3;3
2020-02-18 11:00:00Z;2,883404;3;3
2020-02-19 11:00:00Z;1,72301;3;3
2020-02-20 11:00:00Z;1,280185;3;3
2020-02-21 11:00:00Z;1,439017;3;3
2020-02-22 11:00:00Z;2,238234;3;3
2020-02-23 11:00:00Z;1,395;3;3
2020-02-24 11:00:00Z;1,03203;3;3
