#Bøyumselv, 78.8.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;2,839165;0;3
2020-01-02 11:00:00Z;3,536227;0;3
2020-01-03 11:00:00Z;6,080799;0;3
2020-01-04 11:00:00Z;2,205992;0;3
2020-01-05 11:00:00Z;1,607206;0;3
2020-01-06 11:00:00Z;2,518247;0;3
2020-01-07 11:00:00Z;4,817993;0;3
2020-01-08 11:00:00Z;8,871544;0;3
2020-01-09 11:00:00Z;3,55668;0;3
2020-01-10 11:00:00Z;1,963653;0;3
2020-01-11 11:00:00Z;2,806612;0;3
2020-01-12 11:00:00Z;4,119038;0;3
2020-01-13 11:00:00Z;2,477093;0;3
2020-01-14 11:00:00Z;2,388248;0;3
2020-01-15 11:00:00Z;2,301214;0;3
2020-01-16 11:00:00Z;3,797868;0;3
2020-01-17 11:00:00Z;3,091888;0;3
2020-01-18 11:00:00Z;2,461105;0;3
2020-01-19 11:00:00Z;2,563587;0;3
2020-01-20 11:00:00Z;3,401967;0;3
2020-01-21 11:00:00Z;11,10107;0;3
2020-01-22 11:00:00Z;3,705439;0;3
2020-01-23 11:00:00Z;3,284669;0;3
2020-01-24 11:00:00Z;4,320282;0;3
2020-01-25 11:00:00Z;2,644232;0;3
2020-01-26 11:00:00Z;2,874201;0;3
2020-01-27 11:00:00Z;2,310627;0;3
2020-01-28 11:00:00Z;1,80461;0;3
2020-01-29 11:00:00Z;1,452801;0;3
2020-01-30 11:00:00Z;1,263178;0;3
2020-01-31 11:00:00Z;1,165612;0;3
2020-02-01 11:00:00Z;2,10604;0;3
2020-02-02 11:00:00Z;1,703792;0;3
2020-02-03 11:00:00Z;1,336943;0;3
2020-02-04 11:00:00Z;1,150641;0;3
2020-02-05 11:00:00Z;1,226274;0;3
2020-02-06 11:00:00Z;2,614876;0;3
2020-02-07 11:00:00Z;2,183773;0;3
2020-02-08 11:00:00Z;1,707494;0;3
2020-02-09 11:00:00Z;2,379006;0;3
2020-02-10 11:00:00Z;3,239111;0;3
2020-02-11 11:00:00Z;2,065505;0;3
2020-02-12 11:00:00Z;1,569828;0;3
2020-02-13 11:00:00Z;1,317412;0;3
2020-02-14 11:00:00Z;1,159215;0;3
2020-02-15 11:00:00Z;1,09348;0;3
2020-02-16 11:00:00Z;2,010799;0;3
2020-02-17 11:00:00Z;3,436377;0;3
2020-02-18 11:00:00Z;4,290508;0;3
