#Nessedalselv, 79.3.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;3,007288;0;3
2020-01-02 11:00:00Z;1,950793;0;3
2020-01-03 11:00:00Z;2,765705;0;3
2020-01-04 11:00:00Z;1,652151;0;3
2020-01-05 11:00:00Z;1,655451;0;3
2020-01-06 11:00:00Z;3,687493;0;3
2020-01-07 11:00:00Z;4,114329;0;3
2020-01-08 11:00:00Z;8,036771;0;3
2020-01-09 11:00:00Z;3,246883;0;3
2020-01-10 11:00:00Z;1,905901;0;3
2020-01-11 11:00:00Z;3,15633;0;3
2020-01-12 11:00:00Z;4,041222;0;3
2020-01-13 11:00:00Z;1,931579;0;3
2020-01-14 11:00:00Z;1,506516;0;3
2020-01-15 11:00:00Z;1,426882;0;3
2020-01-16 11:00:00Z;2,283882;0;3
2020-01-17 11:00:00Z;2,28549;0;3
2020-01-18 11:00:00Z;1,817532;0;3
2020-01-19 11:00:00Z;1,544911;0;3
2020-01-20 11:00:00Z;3,339555;0;3
2020-01-21 11:00:00Z;14,07883;0;3
2020-01-22 11:00:00Z;5,160396;0;3
2020-01-23 11:00:00Z;4,717087;0;3
2020-01-24 11:00:00Z;6,166353;0;3
2020-01-25 11:00:00Z;2,840458;0;3
2020-01-26 11:00:00Z;1,983626;0;3
2020-01-27 11:00:00Z;1,563487;0;3
2020-01-28 11:00:00Z;1,162982;0;3
2020-01-29 11:00:00Z;0,9039384;0;3
2020-01-30 11:00:00Z;0,7701302;0;3
2020-01-31 11:00:00Z;0,7382864;0;3
2020-02-01 11:00:00Z;1,75738;0;3
2020-02-02 11:00:00Z;1,473354;0;3
2020-02-03 11:00:00Z;0,938261;0;3
2020-02-04 11:00:00Z;0,7271324;0;3
2020-02-05 11:00:00Z;1,071173;0;3
2020-02-06 11:00:00Z;1,851617;0;3
2020-02-07 11:00:00Z;1,581086;0;3
2020-02-08 11:00:00Z;1,101139;0;3
2020-02-09 11:00:00Z;1,519133;0;3
2020-02-10 11:00:00Z;2,307559;0;3
2020-02-11 11:00:00Z;1,329646;0;3
2020-02-12 11:00:00Z;1,065603;0;3
2020-02-13 11:00:00Z;0,8915654;0;3
2020-02-14 11:00:00Z;0,7355428;0;3
2020-02-15 11:00:00Z;0,7021514;0;3
2020-02-16 11:00:00Z;1,344796;0;3
2020-02-17 11:00:00Z;1,961935;0;3
2020-02-18 11:00:00Z;2,830937;0;3
2020-02-19 11:00:00Z;1,442678;0;3
2020-02-20 11:00:00Z;1,08441;0;3
2020-02-21 11:00:00Z;1,24758;0;3
2020-02-22 11:00:00Z;1,859666;0;3
2020-02-23 11:00:00Z;1,169065;0;3
2020-02-24 11:00:00Z;0,8375626;0;3
2020-02-25 11:00:00Z;0,6241212;0;3
2020-02-26 11:00:00Z;0,4985048;0;3
2020-02-27 11:00:00Z;0,5133637;0;3
2020-02-28 11:00:00Z;0,468389;0;3
2020-02-29 11:00:00Z;0,7311491;0;3
2020-03-01 11:00:00Z;0,4025216;0;3
2020-03-02 11:00:00Z;0,4359085;0;3
2020-03-03 11:00:00Z;0,4189751;0;3
2020-03-04 11:00:00Z;0,3882219;0;3
2020-03-05 11:00:00Z;0,3664955;0;3
2020-03-06 11:00:00Z;0,3448486;0;3
2020-03-07 11:00:00Z;0,3271011;0;3
2020-03-08 11:00:00Z;1,167428;0;3
2020-03-09 11:00:00Z;1,756956;0;3
2020-03-10 11:00:00Z;1,083571;0;3
2020-03-11 11:00:00Z;1,298153;0;3
2020-03-12 11:00:00Z;1,051547;0;3
2020-03-13 11:00:00Z;0,7476726;0;3
2020-03-14 11:00:00Z;0,5792134;0;3
2020-03-15 11:00:00Z;0,7937879;0;3
2020-03-16 11:00:00Z;0,987811;0;3
2020-03-17 11:00:00Z;1,005496;0;3
2020-03-18 11:00:00Z;1,115379;0;3
2020-03-19 11:00:00Z;0,8216914;0;3
2020-03-20 11:00:00Z;0,6621463;0;3
2020-03-21 11:00:00Z;0,5486383;0;3
2020-03-22 11:00:00Z;0,4988605;0;3
2020-03-23 11:00:00Z;0,4424868;0;3
2020-03-24 11:00:00Z;0,4428604;0;3
2020-03-25 11:00:00Z;2,490832;0;3
2020-03-26 11:00:00Z;3,926361;0;3
2020-03-27 11:00:00Z;2,151997;0;3
2020-03-28 11:00:00Z;1,487877;0;3
2020-03-29 11:00:00Z;1,057631;0;3
2020-03-30 11:00:00Z;0,8436218;0;3
2020-03-31 11:00:00Z;0,7729751;0;3
2020-04-01 11:00:00Z;1,919929;0;3
2020-04-02 11:00:00Z;1,543648;0;3
2020-04-03 11:00:00Z;0,9169527;0;3
2020-04-04 11:00:00Z;0,718978;0;3
2020-04-05 11:00:00Z;0,6115106;0;3
2020-04-06 11:00:00Z;0,7110806;0;3
2020-04-07 11:00:00Z;2,075244;0;3
2020-04-08 11:00:00Z;2,625962;0;3
2020-04-09 11:00:00Z;1,974918;0;3
2020-04-10 11:00:00Z;1,217344;0;3
2020-04-11 11:00:00Z;1,062863;0;3
2020-04-12 11:00:00Z;2,53728;0;3
2020-04-13 11:00:00Z;1,747649;0;3
2020-04-14 11:00:00Z;1,393886;0;3
2020-04-15 11:00:00Z;9,956101;0;3
2020-04-16 11:00:00Z;6,765625;0;3
2020-04-17 11:00:00Z;2,639368;0;3
2020-04-18 11:00:00Z;1,957502;0;3
2020-04-19 11:00:00Z;1,839678;0;3
2020-04-20 11:00:00Z;2,154118;0;3
2020-04-21 11:00:00Z;2,855227;0;3
2020-04-22 11:00:00Z;3,491608;0;3
2020-04-23 11:00:00Z;3,670554;0;3
2020-04-24 11:00:00Z;3,571798;0;3
2020-04-25 11:00:00Z;3,258686;0;3
2020-04-26 11:00:00Z;3,18705;0;3
2020-04-27 11:00:00Z;3,116889;0;3
2020-04-28 11:00:00Z;2,654094;0;3
2020-04-29 11:00:00Z;2,144573;0;3
2020-04-30 11:00:00Z;1,611629;0;3
2020-05-01 11:00:00Z;1,319325;0;3
2020-05-02 11:00:00Z;1,432579;0;3
2020-05-03 11:00:00Z;1,40882;0;3
2020-05-04 11:00:00Z;1,323175;0;3
2020-05-05 11:00:00Z;1,093602;0;3
2020-05-06 11:00:00Z;1,383513;0;3
2020-05-07 11:00:00Z;1,744595;0;3
2020-05-08 11:00:00Z;1,932078;0;3
2020-05-09 11:00:00Z;1,905876;0;3
2020-05-10 11:00:00Z;1,397621;0;3
2020-05-11 11:00:00Z;1,151819;0;3
2020-05-12 11:00:00Z;1,12221;0;3
2020-05-13 11:00:00Z;0,9546811;0;3
2020-05-14 11:00:00Z;0,855356;0;3
2020-05-15 11:00:00Z;0,8322287;0;3
2020-05-16 11:00:00Z;0,9140934;0;3
2020-05-17 11:00:00Z;1,271772;0;3
2020-05-18 11:00:00Z;1,440379;0;3
2020-05-19 11:00:00Z;1,370249;0;3
2020-05-20 11:00:00Z;1,386298;0;3
2020-05-21 11:00:00Z;2,024383;0;3
2020-05-22 11:00:00Z;6,413164;0;3
2020-05-23 11:00:00Z;11,89891;0;3
2020-05-24 11:00:00Z;8,699763;0;3
2020-05-25 11:00:00Z;7,969237;0;3
2020-05-26 11:00:00Z;7,741791;0;3
2020-05-27 11:00:00Z;10,51832;0;3
2020-05-28 11:00:00Z;8,244143;0;3
2020-05-29 11:00:00Z;5,653139;0;3
2020-05-30 11:00:00Z;8,254279;0;3
2020-05-31 11:00:00Z;15,65551;0;3
2020-06-01 11:00:00Z;14,91736;0;3
2020-06-02 11:00:00Z;11,55708;0;3
2020-06-03 11:00:00Z;10,68302;0;3
2020-06-04 11:00:00Z;12,88644;0;3
2020-06-05 11:00:00Z;15,95891;0;3
2020-06-06 11:00:00Z;14,15187;0;3
2020-06-07 11:00:00Z;9,009513;0;3
2020-06-08 11:00:00Z;7,036045;0;3
2020-06-09 11:00:00Z;5,748808;0;3
2020-06-10 11:00:00Z;7,909651;0;3
2020-06-11 11:00:00Z;10,69732;0;3
2020-06-12 11:00:00Z;14,81581;0;3
2020-06-13 11:00:00Z;19,5516;0;3
2020-06-14 11:00:00Z;15,60704;0;3
2020-06-15 11:00:00Z;10,93131;0;3
2020-06-16 11:00:00Z;13,66702;0;3
2020-06-17 11:00:00Z;13,73323;0;3
2020-06-18 11:00:00Z;11,57307;0;3
2020-06-19 11:00:00Z;14,12894;0;3
2020-06-20 11:00:00Z;15,40084;0;3
2020-06-21 11:00:00Z;16,66003;0;3
2020-06-22 11:00:00Z;10,42978;0;3
2020-06-23 11:00:00Z;5,492139;0;3
2020-06-24 11:00:00Z;5,378521;0;3
2020-06-25 11:00:00Z;6,448037;0;3
2020-06-26 11:00:00Z;5,801027;0;3
2020-06-27 11:00:00Z;6,503884;0;3
2020-06-28 11:00:00Z;9,291206;0;3
2020-06-29 11:00:00Z;5,116704;0;3
2020-06-30 11:00:00Z;3,049428;0;3
2020-07-01 11:00:00Z;2,498586;0;3
2020-07-02 11:00:00Z;1,911352;0;3
