#Ullebøelv, 80.4.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;2,222077;0;3
2020-01-02 11:00:00Z;2,079281;0;3
2020-01-03 11:00:00Z;4,415142;0;3
2020-01-04 11:00:00Z;2,767851;0;3
2020-01-05 11:00:00Z;1,903856;0;3
2020-01-06 11:00:00Z;2,103183;0;3
2020-01-07 11:00:00Z;4,672985;0;3
2020-01-08 11:00:00Z;6,170718;0;3
2020-01-09 11:00:00Z;2,305108;0;3
2020-01-10 11:00:00Z;1,280654;0;3
2020-01-11 11:00:00Z;1,251211;0;3
2020-01-12 11:00:00Z;2,134961;0;3
2020-01-13 11:00:00Z;1,443893;0;3
2020-01-14 11:00:00Z;1,093974;0;3
2020-01-15 11:00:00Z;0,9476678;0;3
2020-01-16 11:00:00Z;1,064508;0;3
2020-01-17 11:00:00Z;1,357535;0;3
2020-01-18 11:00:00Z;1,34921;0;3
2020-01-19 11:00:00Z;1,103585;0;3
2020-01-20 11:00:00Z;1,222059;0;3
2020-01-21 11:00:00Z;4,64347;0;3
2020-01-22 11:00:00Z;3,469935;0;3
2020-01-23 11:00:00Z;2,59196;0;3
2020-01-24 11:00:00Z;2,844634;0;3
2020-01-25 11:00:00Z;2,108707;0;3
2020-01-26 11:00:00Z;2,003464;0;3
2020-01-27 11:00:00Z;1,891326;0;3
2020-01-28 11:00:00Z;1,770252;0;3
2020-01-29 11:00:00Z;1,59211;0;3
2020-01-30 11:00:00Z;1,439375;0;3
2020-01-31 11:00:00Z;1,33492;0;3
2020-02-01 11:00:00Z;1,383679;0;3
2020-02-02 11:00:00Z;1,494586;0;3
2020-02-03 11:00:00Z;1,290529;0;3
2020-02-04 11:00:00Z;0,7128915;0;3
2020-02-05 11:00:00Z;0,3852874;0;3
2020-02-06 11:00:00Z;1,633681;0;3
2020-02-07 11:00:00Z;1,026675;0;3
2020-02-08 11:00:00Z;0,5647377;0;3
2020-02-09 11:00:00Z;0,7335619;0;3
2020-02-10 11:00:00Z;0,869132;0;3
2020-02-11 11:00:00Z;0,4537807;0;3
2020-02-12 11:00:00Z;0,332255;0;3
2020-02-13 11:00:00Z;0,2742508;0;3
2020-02-14 11:00:00Z;0,2197453;0;3
2020-02-15 11:00:00Z;0,2164958;0;3
2020-02-16 11:00:00Z;0,5778173;0;3
2020-02-17 11:00:00Z;1,427821;0;3
2020-02-18 11:00:00Z;1,263329;0;3
2020-02-19 11:00:00Z;0,5691847;0;3
2020-02-20 11:00:00Z;0,4050146;0;3
2020-02-21 11:00:00Z;0,7804691;0;3
2020-02-22 11:00:00Z;0,923299;0;3
2020-02-23 11:00:00Z;0,4179281;0;3
2020-02-24 11:00:00Z;0,3035744;0;3
2020-02-25 11:00:00Z;0,4658315;0;3
2020-02-26 11:00:00Z;0,5285398;0;3
2020-02-27 11:00:00Z;0,5759263;0;3
2020-02-28 11:00:00Z;0,3478747;0;3
2020-02-29 11:00:00Z;0,2681172;0;3
2020-03-01 11:00:00Z;0,2386894;0;3
2020-03-02 11:00:00Z;0,1566872;0;3
2020-03-03 11:00:00Z;0,1404559;0;3
2020-03-04 11:00:00Z;0,07766277;1;3
2020-03-05 11:00:00Z;0,0552099;1;3
2020-03-06 11:00:00Z;0,04589804;1;3
2020-03-07 11:00:00Z;0,6871769;1;3
2020-03-08 11:00:00Z;1,099558;1;3
2020-03-09 11:00:00Z;2,128289;1;3
2020-03-10 11:00:00Z;1,659753;1;3
2020-03-11 11:00:00Z;0,5284894;1;3
2020-03-12 11:00:00Z;0,6871769;1;3
2020-03-13 11:00:00Z;0,1823166;1;3
2020-03-14 11:00:00Z;0,1058284;1;3
2020-03-15 11:00:00Z;0,1222868;1;3
2020-03-16 11:00:00Z;0,2978283;0;3
2020-03-17 11:00:00Z;0,384178;0;3
2020-03-18 11:00:00Z;0,2996974;0;3
